ID,Time,Class,Age,purpose,encourage,certificate,thisclass,gaveup,why,complimented,confident,motivated,importanceofcomplimented,unnecessary,feedback,replacewhy
1,11-14-2022 18:32:01,3,18,1,3,4,5,1,IELTS is too much for college entrance exam,1,1,1,3,3,1,So that I could better focus on the lesson
2,11-14-2022 18:48:45,3,16,1,2,3,4,1,Too much external distraction that I cannot focus on learning IELTS,1,1,1,5,4,0,I don't like being praised
3,11-14-2022 18:52:19,2,15,1,2,5,5,1,Writing is too difficult,1,1,1,4,4,1,So that I could better focus on the lesson
4,11-14-2022 18:56:41,2,15,1,2,5,5,0,,0,1,1,3,3,1,So that I could better focus on the lesson
5,11-14-2022 19:29:39,2,15,1,3,4,4,0,,0,1,,3,4,1,"To save time for learning other knowledge, So that I could better focus on the lesson, The compliments cannot make me improve my English skills"
6,11-14-2022 20:10:14,2,15,2,3,5,2,0,,1,1,1,1,3,1,So that I could better focus on the lesson
7,11-14-2022 21:36:42,2,16,1,2,5,5,0,,1,1,1,5,5,1,So that I could better focus on the lesson
8,11-14-2022 22:03:16,2,16,1,2,5,5,0,,1,1,1,4,3,0,So that I could better focus on the lesson
9,11-15-2022 15:32:07,2,15,1,3,5,5,1,Not used to the learning style of the class,1,1,1,5,5,0,So that I could better focus on the lesson
10,11-15-2022 17:17:39,1,20,1,2,5,5,0,,0,1,1,4,4,0,The compliments cannot make me improve my English skills
11,11-15-2022 17:55:39,2,16,2,3,5,5,0,,1,1,1,5,5,0,So that I could better focus on the lesson
12,11-15-2022 22:45:35,1,23,1,2,5,5,0,,1,1,1,5,5,,So that I could better focus on the lesson
13,11-16-2022 0:05:47,2,16,1,2,4,5,0,,1,1,1,3,3,0,So that I could better focus on the lesson
14,11-16-2022 12:24:14,1,15,1,3,5,5,0,,1,1,1,5,5,1,The compliments cannot make me improve my English skills
15,11-16-2022 12:27:20,2,15,1,2,5,5,1,Too difficult,1,1,1,5,5,1,The compliments cannot make me improve my English skills
16,11-16-2022 17:11:32,2,16,1,2,5,5,0,,1,1,1,3,3,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
17,11-16-2022 17:30:38,3,16,1,2,5,4,0,,1,1,1,4,5,0,So that I could better focus on the lesson
18,11-16-2022 22:10:07,3,16,1,2,5,4,0,,1,1,1,5,5,,The compliments cannot make me improve my English skills
19,11-16-2022 22:18:29,1,16,2,2,5,5,1,"Too difficult because my Listening skill is not good enough, I don¡¯t think I can catch up with the class",0,1,1,3,4,1,So that I could better focus on the lesson
20,11-17-2022 0:34:31,2,16,2,1,5,4,0,,0,1,1,4,4,0,The compliments cannot make me improve my English skills
21,11-17-2022 13:48:38,2,21,1,2,5,5,0,,0,1,1,4,4,1,So that I could better focus on the lesson
22,11-17-2022 14:47:14,2,19,3,2,5,5,1,Difficult,0,1,1,4,4,1,The compliments cannot make me improve my English skills
23,11-17-2022 21:26:33,2,17,3,4,4,4,1,Difficult,1,1,1,5,4,0,"So that I could better focus on the lesson, The compliments cannot make me improve my English skills"
24,11-17-2022 21:57:50,1,15,1,3,4,5,1,Learning IELTS is too much pressure and difficult,1,1,1,4,5,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
25,11-19-2022 0:50:06,2,15,1,2,5,5,0,,1,1,1,5,5,,So that I could better focus on the lesson
26,11-22-2022 16:39:08,3,17,1,2,5,5,1,"Pressure from families, learning at school",1,1,1,5,5,0,To save time for learning other knowledge
27,11-22-2022 16:40:38,3,17,1,2,5,5,1,Too much homework,1,1,1,4,4,,So that I could better focus on the lesson
28,11-22-2022 16:49:20,3,17,1,2,5,5,0,,1,1,1,5,5,1,So that I could better focus on the lesson
29,11-22-2022 16:58:15,3,22,1,2,4,4,0,,1,1,1,3,4,0,The compliments cannot make me improve my English skills
30,11-22-2022 17:03:39,3,17,1,2,5,4,1,I don¡¯t feel motivated,1,1,1,4,3,1,The compliments cannot make me improve my English skills
31,11-22-2022 17:09:11,3,17,1,2,5,4,1,Pressure from families ,1,1,1,4,3,1,The compliments cannot make me improve my English skills
